keyword_phrases,clicks,cost,transactions,bounce_rate
marine insurance cover,3,28.53,1,50%
marine cargo insurance cover,1,13.97,1,0%
freight insurance,294,1051.09,36,48%
maritime insurance,34,102.48,3,48%
